SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;SecondaryTask;SecondaryTaskInfo;EventInfo;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #146;62.000;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;62.102;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;62.207;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;62.321;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;62.435;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;62.538;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;62.674;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;62.782;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;62.897;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;63.005;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;63.110;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;63.255;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;63.366;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;63.483;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;63.587;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;63.690;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;63.800;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;63.906;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;64.017;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;64.125;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;64.230;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;64.334;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;64.438;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;64.547;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;64.657;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;64.767;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;64.871;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;64.977;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;65.081;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;65.197;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;65.298;Audio;Right;;Right;;;1.025.947;349.456;1.025.947;349.456
Subject #146;65.409;Audio;None;Timeout;None;Timeout;;1.025.947;349.456;1.025.947;349.456
Subject #146;65.530;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;65.638;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;65.761;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;65.861;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;65.970;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
Subject #146;66.087;Audio;None;;None;;;1.025.947;349.456;1.025.947;349.456
